remoCode1wewe
testmarge2
▼ ASCII制御コードの由来
10進	16進	コード	フルスペル	意味・用法
0	00	NUL	Null	空文字
1	01	SOH	Start Of Heading	ヘッダ開始
2	02	STX	Start Of Text	テキスト開始
3	03	ETX	End Of Text	テキスト終了
4	04	EOT	End Of Transmission	伝送終了
5	05	ENQ	Enquery	問い合わせ
6	06	ACK	Acknowledgement	肯定応答
7	07	BEL	Bell	警告音を鳴らす
10	0a	LF / NL	Line Feed / New Line	改行
11	0b	VT	Vertical Tabulation	垂直タブ
12	0c	FF / NP	Form Feed / New Page	改ページ
13	0d	CR	Carriage Return	行頭復帰
14	0e	SO	Shift Out	シフトアウト(多バイト文字終了)
15	0f	SI	Shift In	シフトイン(多バイト文字開始)
8	08	BS	Back Space	一文字後退
9	09	HT	Horizontal Tabulation	水平タブ
16	10	DLE	Data Link Escape	データリンク拡張(バイナリ通信開始)
17	11	DC1	Device Control 1	装置制御1
18	12	DC2	Device Control 2	装置制御2
19	13	DC3	Device Control 3	装置制御3
20	14	DC4	Device Control 4	装置制御4
21	15	NAK	Negative Acknowledgement	否定応答
22	16	SYN	Synchronous idle	同期
23	17	ETB	End of Transmission Block	伝送ブロック終了
3	03	ETX	End Of Text	テキスト終了
4	04	EOT	End Of Transmission	伝送終了
5	05	ENQ	Enquery	問い合わせ
6	06	ACK	Acknowledgement	肯定応答
7	07	BEL	Bell	警告音を鳴らす
8	08	BS	Back Space	一文字後退
9	09	HT	Horizontal Tabulation	水平タブ
24	18	CAN	Cancel	取り消し
25	19	EM	End of Medium	記録媒体終端
26	1a	SUB / EOF	Substitute / End Of File	文字置換 / ファイル終端
27	1b	ESC	Escape	エスケープ(特殊文字開始)
28	1c	FS	File Separator	ファイル区切り
29	1d	GS	Group Separator	グループ区切り
3	03	ETX	End Of Text	テキスト終了
4	04	EOT	End Of Transmission	伝送終了
5	05	ENQ	Enquery	問い合わせ
6	06	ACK	Acknowledgement	肯定応答
7	07	BEL	Bell	警告音を鳴らす
8	08	BS	Back Space	一文字後退
9	09	HT	Horizontal Tabulation	水平タブ
30	1e	RS	Record Separator	レコード区切り
31	1f	US	Unit Separator	ユニット区切り
32	20	SPC	Space	空白文字
127	7f	DEL	Delete	一文字削除
